Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy,Type
0.6494,0.3767,0.6742,0.152,0.5039,0.1667,0.5255,SVC
0.5806,0.2567,0.61,0.0925,0.3956,0.0,0.4333,SVC
0.45,0.69,0.4282,0.1729,0.5435,0.0,0.5591,SVC
0.6372,0.5133,0.6485,0.1909,0.5769,0.3333,0.5809,SVC
0.8328,0.1733,0.8927,0.1473,0.3933,0.0,0.533,SVC
0.9733,0.8905,0.9843,0.8863,0.9362,0.5,0.9374,SVC
0.5667,0.0952,0.6289,0.0488,0.2442,0.3333,0.3621,SVC
0.6547,0.0857,0.7299,0.0547,0.2497,0.3333,0.4078,SVC
0.3353,0.8095,0.2726,0.2213,0.4698,0.5,0.5411,SVC
0.6828,0.4167,0.7179,0.2347,0.5469,0.8333,0.5673,SVC
0.6503,0.2405,0.7044,0.1385,0.4111,0.3333,0.4724,SVC
0.4833,0.5786,0.4708,0.2076,0.5219,0.3333,0.5247,SVC
0.6567,0.4595,0.6827,0.2379,0.56,0.6667,0.5711,SVC
0.6597,0.7071,0.6535,0.3265,0.6798,0.1667,0.6803,SVC
0.9764,0.65,0.9936,0.7334,0.8035,0.5,0.8218,SVC
0.8278,0.0278,0.8699,0.0159,0.0899,0.5,0.4488,SVC
0.8614,0.0778,0.9026,0.0532,0.2637,0.0,0.4902,SVC
0.6517,0.35,0.6675,0.0912,0.483,0.3333,0.5088,SVC
0.8369,0.1167,0.8749,0.0667,0.3179,0.1667,0.4958,SVC
0.8389,0.1111,0.8772,0.0651,0.3121,0.0,0.4942,SVC
0.5075,0.4389,0.5111,0.0818,0.4736,0.3333,0.475,SVC
0.81,0.15,0.8447,0.0732,0.3549,0.1667,0.4974,SVC
0.7522,0.3167,0.7751,0.1134,0.4951,0.8333,0.5459,SVC
0.9819,0.7967,0.9988,0.8794,0.8916,0.5,0.8977,SVC
0.7381,0.0867,0.7973,0.0522,0.2627,0.3333,0.442,SVC
0.8564,0.0733,0.9276,0.0781,0.2588,0.1667,0.5005,SVC
0.5856,0.39,0.6033,0.1357,0.485,0.1667,0.4967,SVC
0.7711,0.1567,0.827,0.1028,0.3599,0.5,0.4918,SVC
0.6997,0.14,0.7506,0.0725,0.3239,0.0,0.4453,SVC
0.6611,0.51,0.6748,0.2005,0.5862,0.5,0.5924,SVC
0.7539,0.3967,0.7864,0.2112,0.5574,0.3333,0.5915,SVC
0.8447,0.19,0.9042,0.1686,0.4133,0.0,0.5471,SVC
